DRUG_NAME,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
carbamazepine,12.739529478458046,-1.5323507180650033,12.739529478458046,0.35759259259259224,0.7483634501218209,236.2740000000001,224.17799999999997,236.094963004,88,0,0.32342219617413165,-0.3508838374482669,0.3508838374482669,0.32342219617413165,1.0,1.5,2.0,11.260139123266608,-0.14038836106515945,0.4665881117979662,-2.3401789484608853,0.5847279100121011,-2.5567790264517942,2.6790838206706136,-0.7178755876034283,2.6899062068525814,1080.276958169385,22.81495457622364,20.80267548146378,8.80267548146378,13.83888683279847,10.742978527231765,4.848551336231848,3.3151979779599827,3.3151979779599827,2.286410885042454,2.286410885042454,1.5562057867299692,1.5562057867299692,-2.55,2694271.7126180683,3.719577223633045,4.035866968245452,1.569155277820115,122.12489521678759,5.719716975726273,0.0,2.8236841566564013,0.0,0.0,6.031114512338072,4.899909730850478,4.794537184071822,0.0,0.0,48.3586557380509,23.21174039872058,0.0,25.082358111069322,21.32580690243042,29.51003055377633,0.0,0.0,5.719716975726273,0.0,4.899909730850478,59.46625264470035,0.0,0.0,10.619626706576751,16.169309733438947,0.0,0.0,6.031114512338072,0.0,0.0,24.83448854509619,48.33934966130636,2.8236841566564013,12.104143492071133,0.0,46.33,94.69600017420296,4.794537184071822,0.0,0.0,4.899909730850478,0.0,0.0,0.0,0.0,0.0,16.5312697183586,95.40807476694384,0.0,13.097122071050638,0.0,-3.0130621693121675,0.0,-9.492134668682287,0.0,0.0,0.0,0.0,18,2,3,0,1,1,2,0,2,1,1,3,0,0,0,0,3,3.3872000000000018,73.53440000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
lamotrigine,7.915334309649786,-0.5181969114806415,7.915334309649786,0.03054645726603411,0.8138095128696987,256.09600000000006,249.04,255.00785058399998,82,0,0.24159882707027744,-0.38170555251762106,0.38170555251762106,0.24159882707027744,1.25,2.125,2.875,13.50536646035004,-0.14190830549568748,0.6457139751048184,-2.215811912697249,0.7658889578363559,-2.4126334863783714,3.7993972508437013,-0.6221125321207739,2.822465836837577,743.4354971854312,17.47217330464553,14.491996923518247,9.003854815555155,10.662478917895418,7.208459641508936,4.675534205527557,2.6619814673841753,3.4179104134026304,1.6658932976325185,2.424063174608337,1.0025462402028902,1.3282773076962369,-1.59,93008.36385976085,5.15985887324398,4.112336342245376,1.8678974160414947,111.46922871472206,11.439433951452546,5.693927994848461,11.465231091147832,5.948339280986494,0.0,0.0,0.0,0.0,4.9839785209472085,10.197363616602075,35.286717195791624,6.042418707663295,5.563451491696996,14.157542295993311,9.759643981823464,34.968081839286555,0.0,15.181342137549283,0.0,0.0,11.439433951452546,28.172522750472538,0.0,11.257379486545457,11.439433951452546,11.766202058821523,0.0,23.20187978046503,15.181342137549283,0.0,0.0,4.1122756685106605,18.127256122989884,15.692634940795456,11.257379486545457,0.0,90.71,29.893458181811408,0.0,0.0,32.74208006548066,0.0,0.0,0.0,0.0,0.0,15.181342137549283,32.961523762288486,52.03413461269281,11.869620548836815,3.6471601788863692,6.552547923490385,-0.4462466581282709,-0.9784204669522123,-1.4565739166036777,0.0,0.0,0.0,0.0,16,4,5,0,0,0,1,1,2,5,2,7,3,0,0,0,2,2.0098,64.1078,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allopurinol,11.342037037037038,-0.8578703703703703,11.342037037037038,0.17268518518518494,0.5192368565638922,136.11400000000003,132.082,136.038510748,50,0,0.26132560108201247,-0.31245759205418255,0.31245759205418255,0.26132560108201247,1.8,2.7,3.6,13.587297843301053,-0.08471683469614355,0.8326726395285803,-2.0244442172004047,0.8307193889553361,-2.1943216742141223,3.43997655089985,-0.48726163009301904,3.094201388947859,573.0958184381703,10.455665446700475,8.697102672463695,4.697102672463695,6.519744507803582,4.3901921227317215,2.495764931731806,1.6391695587834307,1.6391695587834307,1.0514439729996732,1.0514439729996732,0.6177631724113224,0.6177631724113224,-1.6500000000000001,1648.5918322568257,2.531037747759121,1.6629234524260401,0.5397705083562873,60.84714294868243,4.977003270229252,6.756982770635016,8.470861377424129,0.0,5.559266895052007,0.0,9.886243741654903,4.9839785209472085,5.098681808301038,0.0,0.0,0.0,0.0,13.847025480951206,5.565201268996842,11.033401435232523,0.0,20.15137015706058,0.0,0.0,0.0,22.830071003904813,0.0,0.0,5.559266895052007,0.0,0.0,0.0,20.15137015706058,0.0,0.0,2.7415171123404405,17.270804108852808,2.8236841566564013,11.033401435232523,0.0,74.43,18.03553381983299,4.794537184071822,0.0,16.010404705461774,5.091706557583081,0.0,0.0,0.0,0.0,10.082660329248245,5.565201268996842,28.653055555555557,0.0,15.085555555555555,3.6212037037037037,-1.0305555555555552,0.0,0.0,-0.9959259259259259,0.0,0.0,0.0,10,2,5,0,0,0,0,2,2,3,2,5,0,0,0,0,2,-0.35380000000000006,34.50939999999999,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nevirapine,13.213574263038545,-3.211460104875284,13.213574263038545,0.06943263416477707,0.861716125086419,266.3039999999998,252.19199999999998,266.1167610680003,100,0,0.259040848923194,-0.3184743028957275,0.3184743028957275,0.259040848923194,1.5,2.35,3.15,11.189383553522166,-0.243592643229977,5.3208645643522667e-17,-2.378250526924885,0.03871979240135916,-2.3885088074195,2.289217447212236,-0.9448012415649103,2.256150993978392,1261.217863622602,25.919767061838233,23.697102672463693,9.697102672463695,15.335128648705794,12.413798920481701,5.466585324981743,3.919006946408316,3.919006946408316,2.7313549027620767,2.7313549027620767,1.82594727959641,1.82594727959641,-2.43,14887019.312605951,4.0366214090731125,4.030422454929436,1.5916576426488964,135.93970314082148,10.209723084138854,5.817862777835028,7.229704856163229,0.0,5.907179729351506,0.0,4.794537184071822,9.967957041894417,0.0,0.0,0.0,43.288449534641316,27.958992783170704,19.475389103401877,24.026240492612878,23.230291559705122,0.0,9.967957041894417,0.0,25.615634388304084,10.209723084138854,41.5999495280134,0.0,0.0,10.209723084138854,17.323111830353618,0.0,0.0,21.89302923959557,0.0,6.851892117295679,46.487151200337465,30.473046544619407,1.4118420783282006,0.0,0.0,58.120000000000005,90.44587547602262,4.794537184071822,0.0,5.309813353288376,4.899909730850478,0.0,0.0,0.0,0.0,9.967957041894417,19.23170330854106,112.41565243921644,0.0,20.970520597127734,-0.06943263416477707,-2.8629469009826147,-3.2301563681027954,-5.802795033908626,-7.8760486609767355,-3.211460104875284,0.0,0.26666666666666666,20,1,5,1,1,2,0,2,2,4,1,5,2,1,0,1,4,2.6512200000000004,76.32520000000002,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
phenytoin,13.156878306878301,-3.097453703703703,13.156878306878301,0.20420823885109662,0.8001945345367882,252.27300000000008,240.17699999999996,252.089877624,94,0,0.3224087250655885,-0.31568219910677586,0.3224087250655885,0.31568219910677586,0.8947368421052632,1.368421052631579,1.736842105263158,11.282955509410451,-0.09351931350517928,0.5390319210780767,-2.408301418604415,0.5957015568007529,-2.5662141519769714,2.665696160542932,-0.5040052936838234,2.680102533305212,1056.0512907670422,23.737604307034015,21.210923771927643,9.210923771927643,14.237604307034015,10.947102672463696,5.05267548146378,3.5217437446184867,3.5217437446184867,2.4936532528259687,2.4936532528259687,1.696529149161029,1.696529149161029,-2.619999999999999,4224748.201502671,4.198083082794588,4.2423570760462965,1.688635569813371,126.97602034901563,5.309813353288376,0.0,8.362609409039747,0.0,5.907179729351506,6.031114512338072,10.104350537360197,4.794537184071822,0.0,0.0,60.42418707663295,11.126902983393991,0.0,13.7075855617022,26.12034408650224,11.938294241689578,0.0,10.619626706576751,0.0,5.538925252383345,0.0,71.55109006002695,0.0,0.0,10.619626706576751,4.794537184071822,0.0,0.0,11.938294241689578,10.333462436455168,0.0,24.83448854509619,60.42418707663295,2.8236841566564013,0.0,0.0,58.2,89.02830955409988,9.589074368143644,0.0,10.619626706576751,0.0,0.0,0.0,0.0,0.0,0.0,16.5312697183586,95.5534819328966,0.0,25.502979182413696,-0.5291581632653068,-5.069434051398336,-1.6346655328798183,-11.239870034433526,0.0,0.0,0.0,0.06666666666666667,19,2,4,0,1,1,2,0,2,2,2,4,2,0,1,1,3,1.7696,70.33840000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
valproic acid,11.89642573696145,-4.419097222222224,11.89642573696145,2.505787037037037,0.6423719745530849,144.21400000000014,128.08599999999998,144.115029752,60,0,0.30598677885955755,-0.4810264638850934,0.4810264638850934,0.30598677885955755,1.8,2.4,2.8,-6.129628754301759e-16,-0.24927484562266913,-2.1369421962468792e-16,-2.6713683470499663,-2.1194328600371454e-16,-2.6053110202312024,-1.6204256444883203e-16,-1.1403800257945402,7.020906026260591,503.4334473863049,21.784457050376176,20.816496580927726,4.816496580927726,10.981380475434849,10.066496580927726,2.158248290463863,1.1624574785652648,1.1624574785652648,0.5791241452319316,0.5791241452319316,0.2583120726159658,0.2583120726159658,-0.53,67085.3162303133,1.1346158887165576,5.270170381876186,3.4868174048208713,84.81579994165777,5.1088081911072125,0.0,0.0,0.0,1.4311996572326342,5.969305287951849,4.794537184071822,0.0,0.0,0.0,26.449634037250117,12.745849802658759,20.561378342553297,5.893957685363079,30.46472371773233,5.969305287951849,1.4311996572326342,0.0,5.893957685363079,39.195483839908874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.078113479059063,4.794537184071822,5.893957685363079,59.75686218246222,0.0,0.0,1.4311996572326342,0.0,37.3,51.0587468132238,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,21.992577999785933,117.30590443121693,0.0,11.89642573696145,3.3466043083900225,0.0,-6.924884259259261,0.0,-16.97302626606199,-7.7343572845805015,0.0,0.875,10,1,2,0,0,0,0,0,0,2,1,2,7,0,0,0,0,2.2874,40.9418,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phenobarbital,12.88017526455026,-3.9846324640967516,12.88017526455026,0.6540721844293271,0.7368838068366228,232.2390000000001,220.14299999999997,232.084792244,88,0,0.32765101857785744,-0.27652301806617985,0.32765101857785744,0.27652301806617985,1.2941176470588236,1.8823529411764706,2.411764705882353,11.282955509410456,-0.2475005605153943,0.17351001948959585,-2.5648739046002493,0.1965429001665171,-2.7928638331396187,1.9009138855157028,-1.0605060897204734,3.1899250286150305,890.0290666719791,22.850852961085884,20.119172062391506,8.119172062391506,12.972861429014031,10.151226817695626,4.25679962669571,2.9914861124020007,2.9914861124020007,2.098473999182911,2.098473999182911,1.2787163604711616,1.2787163604711616,-2.1699999999999995,840227.6932430553,3.662343695469477,4.008920169778623,1.5954555917347284,115.1752745861852,0.0,0.0,8.23867462605318,11.814359458703011,0.0,6.031114512338072,20.208701074720395,4.794537184071822,0.0,0.0,37.06398565561216,11.936376393026375,6.853792780851101,6.853792780851101,30.91488127057406,17.845473971041084,0.0,10.619626706576751,0.0,18.639807488021837,0.0,35.77554503001347,0.0,0.0,10.619626706576751,4.794537184071822,0.0,0.0,17.845473971041084,15.004064837540422,0.0,32.49585407202425,30.212093538316473,2.8236841566564013,0.0,0.0,75.27000000000001,82.88045319565316,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5312697183586,92.37138417789956,0.0,37.53414168136389,-1.3081443688586543,-5.189837962962963,-4.2024896069538915,-7.65423558620979,-3.9846324640967516,-3.8161858701814086,0.0,0.25,17,2,5,0,1,1,1,0,1,3,2,5,3,0,1,1,2,0.7003999999999997,60.09240000000002,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
paracetamol,11.465040233686066,-3.1571375425170087,11.465040233686066,0.20687263794406663,0.5950261967780849,151.16500000000008,142.093,151.063328528,58,0,0.2930920966378401,-0.5079643157925783,0.5079643157925783,0.2930920966378401,1.8181818181818181,2.5454545454545454,3.090909090909091,10.817111598056028,-0.2434943921541855,0.012703705655513521,-2.309827404468962,0.1289364340428559,-2.3688647656109256,1.1977607000968484,-0.9257986601200822,3.5145147197531204,526.854133465458,15.825908934703556,14.263710176427685,5.263710176427685,9.034798488049647,6.960923771927643,2.605461885963821,1.594686906265383,1.594686906265383,0.8022141162622034,0.8022141162622034,0.45187968107923093,0.45187968107923093,-1.51,13543.798200680048,2.000818851404338,3.0531381005525,2.292303972882069,77.45636677601388,10.418621544395588,5.749511833283905,1.4118420783282006,5.907179729351506,1.4311996572326342,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.16967483065318,16.6515540604899,5.483034224680881,20.910497346698772,11.594566004035068,1.4311996572326342,0.0,0.0,6.851892117295679,5.309813353288376,24.16967483065318,0.0,5.749511833283905,5.309813353288376,5.687386274683562,5.749511833283905,0.0,12.447187577691352,4.794537184071822,0.0,16.447202010487217,24.16967483065318,1.4118420783282006,0.0,0.0,49.33,48.36564478526783,4.794537184071822,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,12.438351628752375,64.78879739858905,0.0,11.465040233686066,3.7522506849962203,-0.8176620370370362,-2.3506254724111857,-3.263996598639454,0.0,-3.1571375425170087,0.0,0.125,11,2,3,0,0,0,1,0,1,2,2,3,3,0,0,0,1,1.3505999999999998,42.41050000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulfamethoxazole,12.689804421768706,-5.177638888888886,12.689804421768706,0.22444707155385357,0.804736706639606,253.28300000000007,242.19499999999996,253.052112212,90,0,0.26263766546728673,-0.3987277171275083,0.3987277171275083,0.26263766546728673,1.588235294117647,2.3529411764705883,2.9411764705882355,12.407364340074142,-0.243535316553274,0.011713744707157848,-2.2764330443696332,0.16008017151451237,-2.3751527850389373,2.3733353500359082,-0.9477548462987924,2.7116051696209524,1004.4531411480933,21.76506652345898,18.974633948355326,8.791130529283052,12.634657471562505,9.36919117521712,5.467613717517884,2.7043895045445616,4.245344660499795,1.5022002023534708,2.6355269091816043,0.8584434491696539,1.6163938955012482,-2.0199999999999996,679740.3020384364,4.022001845256707,4.095983503072133,2.5628629762604866,114.09814716234705,10.242811912699622,5.760247418874442,10.05338901281963,0.0,10.023291153407584,0.0,4.715119613734132,8.417796984328938,0.0,0.0,5.156663257125445,31.02156694794886,15.842080650857515,11.749276256368875,28.14248660564864,21.528540205926173,0.0,5.156663257125445,0.0,11.747375592813455,10.434836589460405,35.972340957190916,0.0,0.0,10.434836589460405,11.50524905251859,0.0,0.0,13.574460241454382,10.023291153407584,6.851892117295679,16.726315868236203,39.630671950807596,4.235526234984602,0.0,0.0,98.22,73.96337636966467,8.417796984328938,0.0,5.719716975726273,0.0,0.0,0.0,0.0,0.0,9.679758194098794,15.201594684346363,111.48964029727287,0.0,-1.2769132653061221,3.076199609473419,-1.0459419558048701,-2.042982116221654,-5.4014878590325015,0.0,-2.9542091548255867,-5.177638888888886,0.1,17,3,6,0,0,0,1,1,2,5,2,7,5,0,0,0,2,1.3660199999999998,62.90290000000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
oxicam NSAIDs,13.340426895301533,-5.482459831926594,13.340426895301533,0.35004960317460343,0.8701839218107902,331.35299999999984,318.2490000000001,331.06267689600037,118,0,0.2932519294996805,-0.5048615489047509,0.5048615489047509,0.2932519294996805,1.391304347826087,2.1739130434782608,2.9565217391304346,12.606268277044602,-0.24332789371419747,0.5072912955413699,-2.430073992247331,0.5532956756494224,-2.528409501214911,2.5668239413533276,-0.9190188086715585,2.4700466972501105,1458.2978595121422,27.65181786940711,23.882882238819192,11.699378819746917,16.404713081592167,12.075382627327878,7.159984070164698,3.9904685715354757,5.713997913325762,2.6611657312638486,4.146550236950217,1.6865038750670527,2.8521307420416724,-2.8699999999999997,29141737.73845622,5.969217662443483,5.398063656574466,2.4232486117292016,150.90805056939385,10.418621544395588,5.817862777835028,12.86804626304021,0.0,17.361670539991724,0.0,9.099753175368056,13.401775505276145,0.0,0.0,18.127256122989884,24.16967483065318,22.824449271304662,15.861551924879533,34.81132855570859,27.507498532250292,1.4311996572326342,9.289194512243443,0.0,4.895483475517775,12.285640253570621,59.73031696921065,0.0,0.0,5.309813353288376,5.817862777835028,0.0,0.0,35.69880631731334,14.817828337479405,0.0,20.641795609569414,59.062348953031425,1.4118420783282006,7.19036452888881,0.0,99.60000000000001,103.41434186855723,13.212334168400758,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,10.092786712054421,17.921385853433254,126.78843088869155,0.0,15.388443073714537,3.957056222180228,-2.5945229696817003,-4.231426366843033,-7.128158493429749,-0.939445436117514,-3.7579170865877236,-5.482459831926594,0.06666666666666667,23,2,7,0,1,1,1,1,2,5,2,8,4,0,0,0,3,1.5810000000000002,83.80630000000004,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
