DRUG_NAME,SMILES,,,,0
levetiracetam,CCC(C(=O)N)N1CCCC1=O,,,,
carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,,,,
oxicam NSAIDs,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,,,,
trichloroethylene,C(=C(Cl)Cl)Cl,,,,
valproic acid,CCCC(CCC)C(=O)O,,,,
phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,,,,
lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,,,,
methazolamide,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,,,,
nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,,,,
sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,,,,
paracetamol,CC(=O)NC1=CC=C(C=C1)O,,,,
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,,,,
clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,,,,
co-trimoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,,,,
oxcarbazepine,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,,,,
allopurinol,C1=NNC2=C1C(=O)NC=N2,,,,
phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,,,,
amoxicillin-clavulanate                         ,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C.C1C2N(C1=O)C(C(=CCO)O2)C(=O)O,,,,
bucillamine         ,CC(C)(C(=O)NC(CS)C(=O)O)S,,,,
sulfasalazine                       ,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,,,,
lapatinib             ,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,,,,
flucloxacillin          ,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,,,,
abacavir       ,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,,,,
ticlopidine        ,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,,,,
lumiracoxib                 ,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,,,,
dapsone         ,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,,,,
asparaginase   ,C(C(C(=O)[O-])N)C(=O)N,,,,
vancomycin      ,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,,,,
ximelagatran  ,CCOC(=O)CNC(C1CCCCC1)C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=NO)N,,,,
fenofibrate    ,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,,,,
terbinafine     ,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,,,,
enalapril                                         ,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,,,,
sertraline     ,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,,,,
erythromycin         ,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,,,,
flupirtine     ,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,,,,
